mass_A
t;x;y
2.027544444E1;1.607088932E-2;3.172431293E-1
2.027953333E1;1.334635069E-2;3.171922232E-1
2.028368889E1;1.018260738E-2;3.171642981E-1
2.028783333E1;7.361071104E-3;3.170722614E-1
2.029200000E1;4.585827949E-3;3.169747029E-1
2.029613333E1;1.558461419E-3;3.169107786E-1
2.030030000E1;-1.282786625E-3;3.168275523E-1
2.030446667E1;-4.088975564E-3;3.168153440E-1
2.030858889E1;-6.956964648E-3;3.170212992E-1
2.031274444E1;-9.969011815E-3;3.168721662E-1
2.031691111E1;-1.273690222E-2;3.167131219E-1
2.032105556E1;-1.565550480E-2;3.166500266E-1
2.032522222E1;-1.867480689E-2;3.164956151E-1
2.032936667E1;-2.139791578E-2;3.164562526E-1
2.033352222E1;-2.450863196E-2;3.164581888E-1
2.033766667E1;-2.735245119E-2;3.163363636E-1
2.034183333E1;-3.007280332E-2;3.162351421E-1
2.034597778E1;-3.316132329E-2;3.161776127E-1
2.035013333E1;-3.600593745E-2;3.160933902E-1
2.035428889E1;-3.884225581E-2;3.161109938E-1
2.035843333E1;-4.179986667E-2;3.162827385E-1
2.036260000E1;-4.470259263E-2;3.160828987E-1
2.036674444E1;-4.745750319E-2;3.159149024E-1
2.037088889E1;-5.033638105E-2;3.158700184E-1
2.037506667E1;-5.335578857E-2;3.157577842E-1
2.037920000E1;-5.611248922E-2;3.157546574E-1
2.038336667E1;-5.919269612E-2;3.157921336E-1
2.038751111E1;-6.209328171E-2;3.156234717E-1
2.039166667E1;-6.498225076E-2;3.154892252E-1
2.039581111E1;-6.797107917E-2;3.154260856E-1
2.039997778E1;-7.072290866E-2;3.153609662E-1
2.040412222E1;-7.370192326E-2;3.153798580E-1
2.040827778E1;-7.653927142E-2;3.154500966E-1
2.041242222E1;-7.939795996E-2;3.153245809E-1
2.041662222E1;-8.241298590E-2;3.152222412E-1
2.042073333E1;-8.533959723E-2;3.150920795E-1
2.042488889E1;-8.824411397E-2;3.150333039E-1
2.042903333E1;-9.129751953E-2;3.151239799E-1
2.043318889E1;-9.415616429E-2;3.149726649E-1
2.043736667E1;-9.710442369E-2;3.148435249E-1
2.044150000E1;-1.000225863E-1;3.147441974E-1
2.044565556E1;-1.028327921E-1;3.146467060E-1
2.044980000E1;-1.056205949E-1;3.146365027E-1
2.045395556E1;-1.086774149E-1;3.147705284E-1
2.045811111E1;-1.115486915E-1;3.147673793E-1
2.046225556E1;-1.144798048E-1;3.145510043E-1
2.046642222E1;-1.174116742E-1;3.144526974E-1
2.047056667E1;-1.201926727E-1;3.143406932E-1
2.047471111E1;-1.231948274E-1;3.143857463E-1
2.047886667E1;-1.261802230E-1;3.143141355E-1
2.048302222E1;-1.291299812E-1;3.142376133E-1
2.048717778E1;-1.320310718E-1;3.141357855E-1
2.049133333E1;-1.349403236E-1;3.139870483E-1
2.049550000E1;-1.378857311E-1;3.139112336E-1
2.049962222E1;-1.408174063E-1;3.139903705E-1
2.050380000E1;-1.437460606E-1;3.139955914E-1
2.050793333E1;-1.467903924E-1;3.139862569E-1
2.051210000E1;-1.495877332E-1;3.137707590E-1
2.051625556E1;-1.525502370E-1;3.136198540E-1
2.052041111E1;-1.554791106E-1;3.135785379E-1
2.052455556E1;-1.583784810E-1;3.135988528E-1
2.052871111E1;-1.613801046E-1;3.137028447E-1
2.053286667E1;-1.644230811E-1;3.134504196E-1
2.053703333E1;-1.673508039E-1;3.133149078E-1
2.054117778E1;-1.702581210E-1;3.132163688E-1
2.054532222E1;-1.731622629E-1;3.131431536E-1
2.054947778E1;-1.760938783E-1;3.132172421E-1
2.055363333E1;-1.791579078E-1;3.131966738E-1
2.055776667E1;-1.820818693E-1;3.130903535E-1
2.056193333E1;-1.849885946E-1;3.129893820E-1
2.056608889E1;-1.878864020E-1;3.128454327E-1
2.057024444E1;-1.908585146E-1;3.128294491E-1
2.057438889E1;-1.939186254E-1;3.128081884E-1
2.057854444E1;-1.967493311E-1;3.127731088E-1
2.058268889E1;-1.998111413E-1;3.126757864E-1
2.058685556E1;-2.026631956E-1;3.125025736E-1
2.059101111E1;-2.055948057E-1;3.124390612E-1
2.059515556E1;-2.086451547E-1;3.123680466E-1
2.059930000E1;-2.116364933E-1;3.124845543E-1
2.060346667E1;-2.147006572E-1;3.124530429E-1
2.060762222E1;-2.176344585E-1;3.122857710E-1
2.061175556E1;-2.205607995E-1;3.121621045E-1
2.061592222E1;-2.234419313E-1;3.120348918E-1
2.062007778E1;-2.263278177E-1;3.119941740E-1
2.062423333E1;-2.293524998E-1;3.120239422E-1
2.062837778E1;-2.321961017E-1;3.119367215E-1
2.063253333E1;-2.352308418E-1;3.118599353E-1
2.063671111E1;-2.381433517E-1;3.117058706E-1
2.064084444E1;-2.409998238E-1;3.116218157E-1
2.064500000E1;-2.440800265E-1;3.115855893E-1
2.064915556E1;-2.468690482E-1;3.115803948E-1
2.065328889E1;-2.460366002E-1;3.115982706E-1
2.065745556E1;-2.433188516E-1;3.115588428E-1
2.066227778E1;-2.406595279E-1;3.115576745E-1
2.066575556E1;-2.377075606E-1;3.115702111E-1
2.066991111E1;-2.353468529E-1;3.116405429E-1
2.067406667E1;-2.326499792E-1;3.117476217E-1
2.067823333E1;-2.298002812E-1;3.117767160E-1
2.068236667E1;-2.270155848E-1;3.117926427E-1
2.068653333E1;-2.242849105E-1;3.117554050E-1
2.069066667E1;-2.215726487E-1;3.117651485E-1
2.069483333E1;-2.188890360E-1;3.119128018E-1
2.069900000E1;-2.163054583E-1;3.119987154E-1
2.070312222E1;-2.136774256E-1;3.120609724E-1
2.070730000E1;-2.109618128E-1;3.119999654E-1
2.071144444E1;-2.080497256E-1;3.117249920E-1
2.071560000E1;-2.051406178E-1;3.116056783E-1
2.071974444E1;-2.025116957E-1;3.116404278E-1
2.072390000E1;-1.998323532E-1;3.116882768E-1
2.072805556E1;-1.972175553E-1;3.117245768E-1
2.073221111E1;-1.945421253E-1;3.117088896E-1
2.073635556E1;-1.917782124E-1;3.117177585E-1
2.074051111E1;-1.890694603E-1;3.117371296E-1
2.074466667E1;-1.863175753E-1;3.117644641E-1
2.074880000E1;-1.836146617E-1;3.118555688E-1
2.075297778E1;-1.809040528E-1;3.118664174E-1
2.075713333E1;-1.781888764E-1;3.117625383E-1
2.076126667E1;-1.753191877E-1;3.116094431E-1
2.076543333E1;-1.724908739E-1;3.114693827E-1
2.076957778E1;-1.696903905E-1;3.114912540E-1
2.077373333E1;-1.669259953E-1;3.115288129E-1
2.077788889E1;-1.642916899E-1;3.115657630E-1
2.078203333E1;-1.616271465E-1;3.115579576E-1
2.078618889E1;-1.588994127E-1;3.115599755E-1
2.079034444E1;-1.562792130E-1;3.115981413E-1
2.079450000E1;-1.535405349E-1;3.116717796E-1
2.079865556E1;-1.510410769E-1;3.117165920E-1
2.080280000E1;-1.484210715E-1;3.117328940E-1
2.080695556E1;-1.454291866E-1;3.113817667E-1
2.081111111E1;-1.426267584E-1;3.111833739E-1
2.081526667E1;-1.399506175E-1;3.112256069E-1
2.081941111E1;-1.373597525E-1;3.112746956E-1
2.082356667E1;-1.346522017E-1;3.113381136E-1
2.082772222E1;-1.320347767E-1;3.113773865E-1
2.083186667E1;-1.293885717E-1;3.113730993E-1
2.083603333E1;-1.264690113E-1;3.113069355E-1
2.084018889E1;-1.236860378E-1;3.113450696E-1
2.084432222E1;-1.209732088E-1;3.114804049E-1
2.084848889E1;-1.183188433E-1;3.115175884E-1
2.085264444E1;-1.156761325E-1;3.114646926E-1
2.085678889E1;-1.128051338E-1;3.112912520E-1
2.086094444E1;-1.101106918E-1;3.110596311E-1
2.086510000E1;-1.072384392E-1;3.110609381E-1
